title,Year_of_release,Genre,movie_runtime,IMDB_rating,IMDB_votes,Cast_&_Crew
Section 375,2019," Crime, Drama, Mystery            ",124 min,  8.1 ,13836,"     Director: Ajay Bahl |      Stars: Akshaye Khanna,  Richa Chadha,  Rahul Bhatt,  Meera Chopra "
Race,I 2008," Action, Crime, Drama            ",149 min,  6.7 ,13836,"     Directors: Abbas Alibhai Burmawalla,  Mastan Alibhai Burmawalla |      Stars: Saif Ali Khan,  Akshaye Khanna,  Bipasha Basu,  Katrina Kaif "
Raman Raghav 2.0,2016," Crime, Drama, Thriller            ",133 min,  7.4 ,13788,"     Director: Anurag Kashyap |      Stars: Nawazuddin Siddiqui,  Vicky Kaushal,  Sobhita Dhulipala,  Mukesh Chhabra "
Cocktail,2012," Comedy, Drama, Romance            ",146 min,  6.3 ,13697,"     Director: Homi Adajania |      Stars: Saif Ali Khan,  Deepika Padukone,  Diana Penty,  Dimple Kapadia "
Asoka,2001," Action, Biography, Drama            ",180 min,  6.5 ,13687,"     Director: Santosh Sivan |      Stars: Shah Rukh Khan,  Kareena Kapoor,  Danny Denzongpa,  Hrishitaa Bhatt "
Hum Tum,2004," Comedy, Drama, Romance            ",143 min,  7.0 ,13676,"     Director: Kunal Kohli |      Stars: Saif Ali Khan,  Rani Mukerji,  Kirron Kher,  Rati Agnihotri "
Jaane Bhi Do Yaaro,1983," Comedy, Crime, Drama            ",132 min,  8.4 ,13674,"     Director: Kundan Shah |      Stars: Naseeruddin Shah,  Ravi Baswani,  Bhakti Barve,  Satish Shah "
Karan Arjun,1995," Action, Drama, Fantasy            ",175 min,  6.8 ,13639,"     Director: Rakesh Roshan |      Stars: Rakhee Gulzar,  Salman Khan,  Shah Rukh Khan,  Amrish Puri "
Go Goa Gone,2013," Action, Adventure, Comedy            ",108 min,  6.7 ,13634,"     Directors: Krishna D.K.,  Raj Nidimoru |      Stars: Saif Ali Khan,  Kunal Khemu,  Vir Das,  Anand Tiwari "
Ajab Prem Ki Ghazab Kahani,2009," Action, Comedy, Romance            ",150 min,  6.4 ,13528,"     Director: Rajkumar Santoshi |      Stars: Ranbir Kapoor,  Katrina Kaif,  Darshan Jariwala,  Smita Jaykar "
Housefull,2010," Comedy, Romance            ",144 min,  5.5 ,13447,"     Director: Sajid Khan |      Stars: Akshay Kumar,  Deepika Padukone,  Riteish Deshmukh,  Lara Dutta "
Desi Boyz,2011," Comedy, Drama            ",122 min,  5.7 ,13393,"     Director: Rohit Dhawan |      Stars: Akshay Kumar,  John Abraham,  Deepika Padukone,  Chitrangda Singh "
Mission Mangal,2019," Drama, History            ",130 min,  6.5 ,13299,"     Director: Jagan Shakti |      Stars: Akshay Kumar,  Vidya Balan,  Taapsee Pannu,  Sonakshi Sinha "
Vaastav: The Reality,1999," Action, Crime, Drama            ",145 min,  8.0 ,13227,"     Director: Mahesh Manjrekar |      Stars: Sanjay Dutt,  Namrata Shirodkar,  Reema Lagoo,  Shivaji Satam "
AK vs AK,2020," Action, Comedy, Crime            ",108 min,  6.9 ,13197,"     Director: Vikramaditya Motwane |      Stars: Anil Kapoor,  Anurag Kashyap,  Sonam Kapoor,  Harshvardhan Kapoor "
The Girl on the Train,2021," Crime, Drama, Mystery            ",120 min,  4.4 ,13005,"     Director: Ribhu Dasgupta |      Stars: Aditi Rao Hydari,  Kirti Kulhari,  Parineeti Chopra,  Hiten Patel "
Bala,2019, Comedy            ,133 min,  7.3 ,12945,"     Director: Amar Kaushik |      Stars: Ayushmann Khurrana,  Bhumi Pednekar,  Yami Gautam,  Saurabh Shukla "
Paheli,2005," Comedy, Drama, Fantasy            ",140 min,  6.5 ,12893,"     Director: Amol Palekar |      Stars: Shah Rukh Khan,  Rani Mukerji,  Anupam Kher,  Naseeruddin Shah "
Yes Boss,1997," Comedy, Drama, Musical            ",163 min,  6.8 ,12888,"     Director: Aziz Mirza |      Stars: Shah Rukh Khan,  Juhi Chawla,  Aditya Pancholi,  Kashmira Shah "
Dhobi Ghat,2010, Drama            ,100 min,  7.0 ,12833,"     Director: Kiran Rao |      Stars: Prateik,  Monica Dogra,  Kriti Malhotra,  Aamir Khan "
Dream Girl,III 2019," Comedy, Romance            ",132 min,  7.0 ,12800,"     Director: Raaj Shaandilyaa |      Stars: Ayushmann Khurrana,  Nushrat Bharucha,  Annu Kapoor,  Manjot Singh "
Aankhen,2002," Crime, Drama, Thriller            ",165 min,  7.4 ,12746,"     Director: Vipul Amrutlal Shah |      Stars: Amitabh Bachchan,  Akshay Kumar,  Sushmita Sen,  Arjun Rampal "
Chachi 420,1997," Comedy, Drama, Family            ",155 min,  7.4 ,12722,"     Director: Kamal Haasan |      Stars: Kamal Haasan,  Amrish Puri,  Om Puri,  Tabu "
The Ghazi Attack,2017," Action, Thriller, War            ",116 min,  7.6 ,12678,"     Director: Sankalp Reddy |      Stars: Rana Daggubati,  Kay Kay Menon,  Atul Kulkarni,  Om Puri "
NH10,2015," Action, Crime, Drama            ",115 min,  7.2 ,12673,"     Director: Navdeep Singh |      Stars: Anushka Sharma,  Neil Bhoopalam,  Darshan Kumaar,  Deepti Naval "
Te3n,2016," Drama, Mystery, Thriller            ",136 min,  7.3 ,12418,"     Director: Ribhu Dasgupta |      Stars: Amitabh Bachchan,  Nawazuddin Siddiqui,  Vidya Balan,  Mukesh Chhabra "
Veere Di Wedding,2018, Comedy            ,135 min,  3.2 ,12372,"     Director: Shashanka Ghosh |      Stars: Kareena Kapoor,  Sonam Kapoor,  Neena Gupta,  Swara Bhaskar "
Gold,I 2018," Drama, History, Sport            ",151 min,  7.3 ,12330,"     Director: Reema Kagti |      Stars: Akshay Kumar,  Mouni Roy,  Kunal Kapoor,  Amit Sadh "
Brothers,I 2015," Action, Drama, Sport            ",156 min,  6.5 ,12306,"     Director: Karan Malhotra |      Stars: Akshay Kumar,  Sidharth Malhotra,  Jackie Shroff,  Jacqueline Fernandez "
Tees Maar Khan,2010," Comedy, Crime            ",135 min,  2.6 ,12239,"     Director: Farah Khan |      Stars: Akshay Kumar,  Katrina Kaif,  Akshaye Khanna,  Rajiv Laxman "
Kedarnath,2018," Drama, Romance            ",116 min,  6.9 ,12197,"     Director: Abhishek Kapoor |      Stars: Sushant Singh Rajput,  Sara Ali Khan,  Nitish Bharadwaj,  Alka Amin "
Humpty Sharma Ki Dulhania,2014," Comedy, Drama, Romance            ",133 min,  6.0 ,12152,"     Director: Shashank Khaitan |      Stars: Varun Dhawan,  Alia Bhatt,  Ashutosh Rana,  Sidharth Shukla "
Mardaani,2014," Action, Crime, Drama            ",113 min,  7.3 ,12146,"     Director: Pradeep Sarkar |      Stars: Rani Mukerji,  Tahir Raj Bhasin,  Priyanka Sharma,  Habib Al Aidroos "
Chupke Chupke,1975," Comedy, Drama, Romance            ",146 min,  8.3 ,12130,"     Director: Hrishikesh Mukherjee |      Stars: Dharmendra,  Sharmila Tagore,  Amitabh Bachchan,  Jaya Bachchan "
Fashion,2008," Drama, Romance            ",167 min,  6.9 ,12107,"     Director: Madhur Bhandarkar |      Stars: Priyanka Chopra Jonas,  Kangana Ranaut,  Mugdha Godse,  Arbaaz Khan "
Bhuj: The Pride of India,2021," Action, Drama, History            ",113 min,  5.2 ,12104,"     Director: Abhishek Dudhaiya |      Stars: Ajay Devgn,  Sanjay Dutt,  Sonakshi Sinha,  Sharad Kelkar "
Peepli [Live],2010," Comedy, Drama            ",95 min,  7.4 ,12101,"     Directors: Anusha Rizvi,  Mahmood Farooqui |      Stars: Omkar Das Manikpuri,  Raghuvir Yadav,  Shalini Vatsa,  Farrukh Jaffar "
Bhagam Bhag,2006," Comedy, Drama, Mystery            ",157 min,  6.5 ,12067,"     Director: Priyadarshan |      Stars: Akshay Kumar,  Govinda,  Paresh Rawal,  Lara Dutta "
Table No.21,2013," Adventure, Drama, Thriller            ",108 min,  7.2 ,12010,"     Director: Aditya Datt |      Stars: Paresh Rawal,  Rajeev Khandelwal,  Tina Desai,  Dhruv Ganesh "
Partner,2007," Comedy, Drama, Romance            ",155 min,  5.8 ,12004,"     Director: David Dhawan |      Stars: Salman Khan,  Govinda,  Lara Dutta,  Katrina Kaif "
Johnny Gaddaar,2007," Crime, Drama, Mystery            ",135 min,  7.8 ,11985,"     Director: Sriram Raghavan |      Stars: Dharmendra,  Rimi Sen,  Ashwini Kalsekar,  Neil Nitin Mukesh "
Gulabo Sitabo,2020," Comedy, Drama            ",124 min,  6.3 ,11882,"     Director: Shoojit Sircar |      Stars: Amitabh Bachchan,  Ayushmann Khurrana,  Vijay Raaz,  Brijendra Kala "
Saala Khadoos,2016," Action, Drama, Sport            ",109 min,  7.6 ,11832,"     Director: Sudha Kongara |      Stars: Madhavan,  Nassar,  Radha Ravi,  Kaali Venkat "
Don,1978," Action, Crime, Thriller            ",175 min,  7.8 ,11763,"     Director: Chandra Barot |      Stars: Amitabh Bachchan,  Zeenat Aman,  Pran,  Iftekhar "
Maine Pyar Kiya,1989," Drama, Musical, Romance            ",192 min,  7.3 ,11688,"     Director: Sooraj R. Barjatya |      Stars: Salman Khan,  Bhagyashree,  Alok Nath,  Rajeev Verma "
Paa,2009," Comedy, Drama            ",133 min,  7.2 ,11669,"     Director: R. Balki |      Stars: Amitabh Bachchan,  Abhishek Bachchan,  Vidya Balan,  Paresh Rawal "
Sanam Teri Kasam,2016," Drama, Musical, Romance            ",154 min,  7.5 ,11664,"     Directors: Radhika Rao,  Vinay Sapru |      Stars: Harshvardhan Rane,  Mawra Hocane,  Vijay Raaz,  Murli Sharma "
Trapped,XVII 2016," Drama, Thriller            ",105 min,  7.6 ,11598,"     Director: Vikramaditya Motwane |      Stars: Rajkummar Rao,  Geetanjali Thapa,  Shiladitya Sen,  Rahul Patel "
Bheja Fry,2007," Comedy, Drama            ",95 min,  7.6 ,11597,"     Director: Sagar Ballary |      Stars: Vinay Pathak,  Rajat Kapoor,  Sarika,  Milind Soman "
Life in a Metro,2007," Comedy, Drama, Romance            ",132 min,  7.4 ,11529,"     Director: Anurag Basu |      Stars: Dharmendra,  Irrfan Khan,  Konkona Sen Sharma,  Kay Kay Menon "
Hichki,2018," Comedy, Drama            ",116 min,  7.5 ,11428,"     Director: Siddharth Malhotra |      Stars: Rani Mukerji,  Rohit Saraf,  Sachin Pilgaonkar,  Neeraj Kabi "
Housefull 4,2019," Action, Comedy, Drama            ",145 min,  3.5 ,11418,"     Director: Farhad Samji |      Stars: Akshay Kumar,  Sam Nagar,  Riteish Deshmukh,  Bobby Deol "
No One Killed Jessica,2011," Biography, Crime, Drama            ",136 min,  7.2 ,11399,"     Director: Raj Kumar Gupta |      Stars: Rani Mukerji,  Vidya Balan,  Myra Karn,  Neil Bhoopalam "
No Entry,2005," Comedy, Drama, Musical            ",158 min,  6.6 ,11378,"     Director: Anees Bazmee |      Stars: Anil Kapoor,  Fardeen Khan,  Salman Khan,  Bipasha Basu "
Billu,2009," Comedy, Drama            ",137 min,  6.3 ,11327,"     Director: Priyadarshan |      Stars: Irrfan Khan,  Lara Dutta,  Om Puri,  Asrani "
Ittefaq,2017," Crime, Mystery, Thriller            ",105 min,  7.3 ,11294,"     Director: Abhay Chopra |      Stars: Sidharth Malhotra,  Sonakshi Sinha,  Akshaye Khanna,  Mandira Bedi "
Karthik Calling Karthik,2010," Drama, Mystery, Romance            ",135 min,  7.1 ,11292,"     Director: Vijay Lalwani |      Stars: Farhan Akhtar,  Deepika Padukone,  Ram Kapoor,  Shefali Shah "
MSG: The Messenger of God,2015," Action, Comedy, Drama            ",197 min,  5.8 ,11240,"     Directors: Jeetu Arora,  Gurmeet Ram Rahim Singh |      Stars: Gurmeet Ram Rahim Singh,  Daniel Kaleb,  Flora Saini,  Jayshree Soni "
Badrinath Ki Dulhania,2017," Comedy, Drama, Romance            ",139 min,  6.1 ,11219,"     Director: Shashank Khaitan |      Stars: Varun Dhawan,  Alia Bhatt,  Sahil Vaid,  Swanand Kirkire "
Ghulam,1998," Action, Crime, Drama            ",162 min,  7.3 ,11138,"     Director: Vikram Bhatt |      Stars: Aamir Khan,  Rani Mukerji,  Rajit Kapoor,  Mita Vashisht "
Mohenjo Daro,2016," Action, Adventure, Drama            ",155 min,  5.7 ,11130,"     Director: Ashutosh Gowariker |      Stars: Hrithik Roshan,  Pooja Hegde,  Kabir Bedi,  Arunoday Singh "
Fukrey,2013," Comedy, Drama, Romance            ",139 min,  6.9 ,11035,"     Director: Mrighdeep Lamba |      Stars: Pulkit Samrat,  Manjot Singh,  Ali Fazal,  Varun Sharma "
Aamir,2008," Action, Crime, Drama            ",99 min,  7.7 ,11025,"     Director: Raj Kumar Gupta |      Stars: Rajeev Khandelwal,  Aishwarya,  Vasan Bala,  Chinkal "
Ankhon Dekhi,2013," Comedy, Drama            ",107 min,  8.0 ,10929,"     Director: Rajat Kapoor |      Stars: Sanjay Mishra,  Seema Bhargava,  Rajat Kapoor,  Taranjit Kaur "
Baaghi 3,2020," Action, Comedy, Musical            ",143 min,  2.1 ,10927,"     Director: Ahmed Khan |      Stars: Tiger Shroff,  Riteish Deshmukh,  Shraddha Kapoor,  Bhawani Singh Rathore "
Bachna Ae Haseeno,2008," Comedy, Drama, Romance            ",152 min,  6.1 ,10863,"     Director: Siddharth Anand |      Stars: Ranbir Kapoor,  Deepika Padukone,  Bipasha Basu,  Minissha Lamba "
New York,2009," Crime, Drama, Thriller            ",153 min,  6.8 ,10802,"     Director: Kabir Khan |      Stars: John Abraham,  Katrina Kaif,  Neil Nitin Mukesh,  Irrfan Khan "
Bulbbul,2020," Drama, Horror, Mystery            ",94 min,  6.6 ,10785,"     Director: Anvita Dutt |      Stars: Tripti Dimri,  Avinash Tiwary,  Rahul Bose,  Parambrata Chattopadhyay "
Boss,I 2013," Action, Comedy, Crime            ",143 min,  5.1 ,10761,"     Director: Anthony D'Souza |      Stars: Akshay Kumar,  Shiv Panditt,  Mithun Chakraborty,  Ronit Roy "
Sonchiriya,2019," Action, Crime, Drama            ",143 min,  8.1 ,10759,"     Director: Abhishek Chaubey |      Stars: Sushant Singh Rajput,  Bhumi Pednekar,  Ashutosh Rana,  Ranvir Shorey "
Manikarnika: The Queen of Jhansi,2019," Action, Biography, Drama            ",148 min,  6.4 ,10727,"     Directors: Radha Krishna Jagarlamudi,  Kangana Ranaut |      Stars: Kangana Ranaut,  Rimi Sen,  Atul Kulkarni,  Danny Denzongpa "
Qayamat Se Qayamat Tak,1988," Drama, Musical, Romance            ",162 min,  7.5 ,10638,"     Director: Mansoor Khan |      Stars: Aamir Khan,  Juhi Chawla,  Goga Kapoor,  Dalip Tahil "
Gadar: Ek Prem Katha,2001," Action, Drama, Romance            ",170 min,  7.2 ,10573,"     Director: Anil Sharma |      Stars: Sunny Deol,  Ameesha Patel,  Amrish Puri,  Lillete Dubey "
Deewaar,1975," Action, Crime, Drama            ",174 min,  8.1 ,10532,"     Director: Yash Chopra |      Stars: Amitabh Bachchan,  Shashi Kapoor,  Nirupa Roy,  Parveen Babi "
Batla House,2019," Action, Crime, Drama            ",146 min,  7.2 ,10527,"     Director: Nikkhil Advani |      Stars: Nora Fatehi,  Mrunal Thakur,  John Abraham,  Rajesh Sharma "
Tere Bin Laden,2010," Comedy, Drama            ",95 min,  7.2 ,10336,"     Director: Abhishek Sharma |      Stars: Ali Zafar,  Pradhuman Singh,  Piyush Mishra,  Nikhil Ratnaparkhi "
Mary Kom,2014," Action, Biography, Drama            ",122 min,  6.8 ,10322,"     Director: Omung Kumar |      Stars: Priyanka Chopra Jonas,  Sunil Thapa,  Robin Das,  Rajni Basumatary "
Ishq,1997," Action, Comedy, Drama            ",161 min,  6.9 ,10321,"     Director: Indra Kumar |      Stars: Aamir Khan,  Ajay Devgn,  Juhi Chawla,  Kajol "
Maqbool,2003," Crime, Drama, Thriller            ",132 min,  8.1 ,10271,"     Director: Vishal Bhardwaj |      Stars: Irrfan Khan,  Tabu,  Pankaj Kapur,  Naseeruddin Shah "
Lust Stories,2018," Drama, Romance            ",120 min,  6.4 ,10264,"     Directors: Zoya Akhtar,  Dibakar Banerjee,  Karan Johar,  Anurag Kashyap |      Stars: Radhika Apte,  Bhumi Pednekar,  Kiara Advani,  Vicky Kaushal "
Ishqiya,2010," Comedy, Drama, Romance            ",118 min,  7.3 ,10213,"     Director: Abhishek Chaubey |      Stars: Vidya Balan,  Naseeruddin Shah,  Arshad Warsi,  Salman Shahid "
Khatta Meetha,2010," Comedy, Crime, Drama            ",157 min,  5.7 ,10185,"     Director: Priyadarshan |      Stars: Akshay Kumar,  Trisha Krishnan,  Kulbhushan Kharbanda,  Aruna Irani "
Gunda,1998," Action, Comedy, Crime            ",129 min,  7.3 ,10161,"     Director: Kanti Shah |      Stars: Mithun Chakraborty,  Mukesh Rishi,  Mohan Joshi,  Shakti Kapoor "
The Tashkent Files,2019," Drama, Mystery, Thriller            ",134 min,  7.8 ,10107,"     Director: Vivek Agnihotri |      Stars: Shweta Basu Prasad,  Mithun Chakraborty,  Naseeruddin Shah,  Pankaj Tripathi "
Shivaay,2016," Action, Adventure, Drama            ",153 min,  6.2 ,10085,"     Director: Ajay Devgn |      Stars: Ajay Devgn,  Abigail Eames,  Erika Kaar,  Sayyeshaa Saigal "
Judwaa 2,2017," Action, Comedy            ",145 min,  3.6 ,9958,"     Director: David Dhawan |      Stars: Varun Dhawan,  Jacqueline Fernandez,  Taapsee Pannu,  Anupam Kher "
Blackmail,I 2018," Comedy, Thriller            ",138 min,  7.1 ,9956,"     Director: Abhinay Deo |      Stars: Irrfan Khan,  Kirti Kulhari,  Urmila Matondkar,  Alfredo Tavares "
Shanghai,2012," Crime, Drama, Mystery            ",120 min,  7.2 ,9934,"     Director: Dibakar Banerjee |      Stars: Emraan Hashmi,  Abhay Deol,  Prasenjit Chatterjee,  Kalki Koechlin "
Baaghi 2,2018," Action, Thriller            ",137 min,  4.8 ,9929,"     Director: Ahmed Khan |      Stars: Tiger Shroff,  Disha Patani,  Manoj Bajpayee,  Randeep Hooda "
Aitraaz,2004," Drama, Romance, Thriller            ",160 min,  6.6 ,9882,"     Directors: Abbas Alibhai Burmawalla,  Mastan Alibhai Burmawalla |      Stars: Akshay Kumar,  Kareena Kapoor,  Priyanka Chopra Jonas,  Amrish Puri "
Luck by Chance,2009, Drama            ,156 min,  7.1 ,9853,"     Director: Zoya Akhtar |      Stars: Farhan Akhtar,  Konkona Sen Sharma,  Rishi Kapoor,  Dimple Kapadia "
Josh,2000," Action, Drama, Musical            ",162 min,  6.2 ,9808,"     Directors: Mansoor Khan,  Dilip Mestry |      Stars: Shah Rukh Khan,  Aishwarya Rai Bachchan,  Chandrachur Singh,  Sharad S. Kapoor "
Mom,I 2017," Crime, Drama, Thriller            ",146 min,  7.3 ,9792,"     Director: Ravi Udyawar |      Stars: Sridevi,  Sajal Ali,  Akshaye Khanna,  Adnan Siddiqui "
Shootout at Lokhandwala,2007," Action, Crime, History            ",122 min,  7.1 ,9780,"     Director: Apoorva Lakhia |      Stars: Amitabh Bachchan,  Sanjay Dutt,  Sunil Shetty,  Arbaaz Khan "
Mangal Pandey: The Rising,2005," Biography, Drama, History            ",150 min,  6.6 ,9687,"     Director: Ketan Mehta |      Stars: Aamir Khan,  Rani Mukerji,  Toby Stephens,  Coral Beed "
Jagga Jasoos,2017," Action, Adventure, Comedy            ",161 min,  6.5 ,9659,"     Director: Anurag Basu |      Stars: Ranbir Kapoor,  Katrina Kaif,  Saswata Chatterjee,  Chitrak Bandyopadhyay "
D-Day,I 2013," Action, Thriller            ",153 min,  7.2 ,9659,"     Director: Nikkhil Advani |      Stars: Irrfan Khan,  Rishi Kapoor,  Arjun Rampal,  Shruti Haasan "
Chup Chup Ke,2006," Comedy, Drama, Romance            ",164 min,  6.9 ,9625,"     Directors: Priyadarshan,  Kookie Gulati |      Stars: Shahid Kapoor,  Kareena Kapoor,  Om Puri,  Paresh Rawal "
Taxi No. 9 2 11: Nau Do Gyarah,2006," Comedy, Drama, Thriller            ",116 min,  7.3 ,9602,"     Director: Milan Luthria |      Stars: John Abraham,  Nana Patekar,  Sonali Kulkarni,  Sameera Reddy "
Dhadak,2018," Drama, Romance            ",138 min,  4.5 ,9583,"     Director: Shashank Khaitan |      Stars: Janhvi Kapoor,  Ishaan Khattar,  Ashutosh Rana,  Aditya Kumar "
Luka Chuppi,I 2019," Comedy, Romance            ",126 min,  6.3 ,9573,"     Director: Laxman Utekar |      Stars: Kartik Aaryan,  Kriti Sanon,  Aparshakti Khurana,  Pankaj Tripathi "
Waqt: The Race Against Time,2005," Comedy, Drama, Family            ",153 min,  6.8 ,9569,"     Director: Vipul Amrutlal Shah |      Stars: Amitabh Bachchan,  Akshay Kumar,  Priyanka Chopra Jonas,  Shefali Shah "
Love Aaj Kal,2020," Drama, Romance            ",142 min,  4.7 ,9526,"     Director: Imtiaz Ali |      Stars: Kartik Aaryan,  Sara Ali Khan,  Randeep Hooda,  Arushi Sharma "
Rangeela,1995," Comedy, Drama, Musical            ",142 min,  7.5 ,9512,"     Director: Ram Gopal Varma |      Stars: Urmila Matondkar,  Aamir Khan,  Jackie Shroff,  Gulshan Grover "
Vivah,2006," Drama, Musical, Romance            ",160 min,  6.6 ,9453,"     Director: Sooraj R. Barjatya |      Stars: Shahid Kapoor,  Amrita Rao,  Anupam Kher,  Alok Nath "
Malang - Unleash the Madness,2020," Action, Crime, Drama            ",135 min,  6.5 ,9418,"     Director: Mohit Suri |      Stars: Aditya Roy Kapoor,  Anil Kapoor,  Disha Patani,  Kunal Khemu "
Shubh Mangal Saavdhan,2017," Comedy, Romance            ",119 min,  6.9 ,9376,"     Director: R.S. Prasanna |      Stars: Ayushmann Khurrana,  Bhumi Pednekar,  Seema Bhargava,  Anshul Chauhan "
Sherni,2021, Drama            ,131 min,  6.8 ,9339,"     Director: Amit Masurkar |      Stars: Vidya Balan,  Vijay Raaz,  Neeraj Kabi,  Sharat Saxena "
Ladies vs. Ricky Bahl,2011," Comedy, Crime, Drama            ",140 min,  6.0 ,9307,"     Director: Maneesh Sharma |      Stars: Ranveer Singh,  Anushka Sharma,  Parineeti Chopra,  Dipannita Sharma "
Son of Sardaar,2012," Action, Comedy, Romance            ",141 min,  4.1 ,9229,"     Directors: Ashwani Dhir,  Anil Devgan |      Stars: Ajay Devgn,  Sanjay Dutt,  Sonakshi Sinha,  Juhi Chawla "
The Dirty Picture,2011," Biography, Comedy, Drama            ",144 min,  6.6 ,9116,"     Director: Milan Luthria |      Stars: Vidya Balan,  Emraan Hashmi,  Tusshar Kapoor,  Naseeruddin Shah "
Khaali Peeli,2020," Action, Comedy, Romance            ",119 min,  2.3 ,9106,"     Director: Maqbool Khan |      Stars: Ishaan Khattar,  Ananya Panday,  Jaideep Ahlawat,  Illuminati Dance Crew "
Shuddh Desi Romance,2013," Comedy, Drama, Romance            ",141 min,  6.0 ,9081,"     Director: Maneesh Sharma |      Stars: Sushant Singh Rajput,  Parineeti Chopra,  Rishi Kapoor,  Vaani Kapoor "
Mere Brother Ki Dulhan,2011," Comedy, Drama, Family            ",139 min,  5.8 ,9067,"     Director: Ali Abbas Zafar |      Stars: Imran Khan,  Katrina Kaif,  Ali Zafar,  Tara D'Souza "
Parineeta,2005," Drama, Musical, Romance            ",130 min,  7.2 ,8982,"     Director: Pradeep Sarkar |      Stars: Vidya Balan,  Saif Ali Khan,  Sanjay Dutt,  Dia Mirza "
Salaam Bombay!,1988," Crime, Drama            ",113 min,  8.0 ,8973,"     Director: Mira Nair |      Stars: Shafiq Syed,  Anjaan,  Amrit Patel,  Murari Sharma "
Mother India,1957," Action, Comedy, Drama            ",172 min,  8.0 ,8951,"     Director: Mehboob Khan |      Stars: Nargis,  Sunil Dutt,  Rajendra Kumar,  Raaj Kumar "
Housefull 3,2016," Action, Comedy, Romance            ",140 min,  5.0 ,8886,"     Directors: Sajid,  Farhad Samji |      Stars: Akshay Kumar,  Abhishek Bachchan,  Riteish Deshmukh,  Jackie Shroff "
Phantom,I 2015," Action, Drama, Thriller            ",136 min,  5.9 ,8883,"     Director: Kabir Khan |      Stars: Saif Ali Khan,  Katrina Kaif,  Sabyasachi Chakrabarty,  Rajesh Tailang "
Patiala House,2011," Drama, Sport            ",140 min,  5.6 ,8874,"     Director: Nikkhil Advani |      Stars: Rishi Kapoor,  Dimple Kapadia,  Akshay Kumar,  Anushka Sharma "
Shakuntala Devi,2020," Biography, Drama            ",127 min,  6.1 ,8866,"     Director: Anu Menon |      Stars: Vidya Balan,  Adi Chugh,  Sanya Malhotra,  Jisshu Sengupta "
Roohi,2021," Comedy, Horror            ",134 min,  4.3 ,8822,"     Director: Hardik Mehta |      Stars: Rajkummar Rao,  Varun Sharma,  Janhvi Kapoor,  Alexx O'Nell "
Bhootnath,2008," Comedy, Drama, Family            ",150 min,  6.3 ,8735,"     Director: Vivek Sharma |      Stars: Amitabh Bachchan,  Juhi Chawla,  Satish Shah,  Rajpal Yadav "
Yuva,2004," Action, Drama, Thriller            ",161 min,  7.4 ,8684,"     Director: Mani Ratnam |      Stars: Ajay Devgn,  Abhishek Bachchan,  Rani Mukerji,  Vivek Oberoi "
Lupt,2018," Horror, Thriller            ",110 min,  5.5 ,8667,"     Director: Prabhuraj |      Stars: Javed Jaffrey,  Niki Walia,  Vijay Raaz,  Rishab Chadha "
Mumbai Saga,2021," Action, Crime            ",135 min,  6.0 ,8663,"     Director: Sanjay Gupta |      Stars: John Abraham,  Emraan Hashmi,  Mahesh Manjrekar,  Sunil Shetty "
Agneepath,1990," Action, Crime, Drama            ",174 min,  7.7 ,8656,"     Director: Mukul Anand |      Stars: Amitabh Bachchan,  Mithun Chakraborty,  Madhavi,  Neelam Kothari "
Golmaal Again,2017," Action, Comedy, Fantasy            ",140 min,  5.0 ,8646,"     Director: Rohit Shetty |      Stars: Ajay Devgn,  Arshad Warsi,  Tabu,  Shreyas Talpade "
Mardaani 2,2019," Action, Crime, Drama            ",103 min,  7.4 ,8581,"     Director: Gopi Puthran |      Stars: Rani Mukerji,  Sunny Hinduja,  Vikram Singh Chauhan,  Pariva Pranati "
Koyla,1997," Action, Drama, Musical            ",166 min,  6.2 ,8580,"     Director: Rakesh Roshan |      Stars: Shah Rukh Khan,  Madhuri Dixit,  Amrish Puri,  Ranjeet "
Heropanti,2014," Action, Romance            ",146 min,  5.3 ,8579,"     Director: Sabir Khan |      Stars: Tiger Shroff,  Kriti Sanon,  Parthaa Akerkar,  Anuradha Chandan "
Shubh Mangal Zyada Saavdhan,2020," Comedy, Romance            ",117 min,  5.8 ,8556,"     Director: Hitesh Kewalya |      Stars: Ayushmann Khurrana,  Jitendra Kumar,  Gajraj Rao,  Neena Gupta "
Ab Tak Chhappan,2004," Action, Crime, Drama            ",129 min,  7.8 ,8515,"     Director: Shimit Amin |      Stars: Nana Patekar,  Revathi,  Yashpal Sharma,  Mohan Agashe "
Bol Bachchan,2012," Action, Comedy            ",155 min,  5.6 ,8509,"     Director: Rohit Shetty |      Stars: Amitabh Bachchan,  Ajay Devgn,  Abhishek Bachchan,  Asin Thottumkal "
MSG 2 the Messenger,2015," Action, Comedy, Drama            ",134 min,  6.6 ,8469,"     Director: Gurmeet Ram Rahim Singh |      Stars: Muntazir Ahmad,  Charanpreet Insan,  Honeypreet Insan,  RooheMeet Insan "
Main Tera Hero,2014," Action, Comedy, Romance            ",128 min,  5.1 ,8354,"     Director: David Dhawan |      Stars: Varun Dhawan,  Ileana D'Cruz,  Nargis Fakhri,  Arunoday Singh "
Himmatwala,2013," Action, Comedy, Drama            ",150 min,  1.7 ,8353,"     Director: Sajid Khan |      Stars: Ajay Devgn,  Tamannaah Bhatia,  Mahesh Manjrekar,  Paresh Rawal "
