title,Year_of_release,Genre,movie_runtime,IMDB_rating,IMDB_votes,Cast_&_Crew
Kahaani,2012," Mystery, Thriller            ",122 min,  8.1 ,59990,"     Director: Sujoy Ghosh |      Stars: Vidya Balan,  Parambrata Chattopadhyay,  Indraneil Sengupta,  Nawazuddin Siddiqui "
Gunday,2014," Action, Drama, Musical            ",152 min,  2.4 ,58475,"     Director: Ali Abbas Zafar |      Stars: Ranveer Singh,  Arjun Kapoor,  Priyanka Chopra Jonas,  Irrfan Khan "
Ghajini,2008," Action, Drama, Mystery            ",186 min,  7.3 ,58311,"     Director: A.R. Murugadoss |      Stars: Aamir Khan,  Asin Thottumkal,  Jiah Khan,  Pradeep Singh Rawat "
Hotel Mumbai,2018," Action, Drama, History            ",123 min,  7.6 ,57379,"     Director: Anthony Maras |      Stars: Dev Patel,  Armie Hammer,  Nazanin Boniadi,  Anupam Kher "
Baby,I 2015," Action, Thriller            ",159 min,  8.0 ,54843,"     Director: Neeraj Pandey |      Stars: Akshay Kumar,  Danny Denzongpa,  Rana Daggubati,  Taapsee Pannu "
Airlift,2016," Drama, History            ",130 min,  8.0 ,54616,"     Director: Raja Menon |      Stars: Akshay Kumar,  Nimrat Kaur,  Kumud Mishra,  Prakash Belawadi "
OMG: Oh My God!,2012," Comedy, Drama, Fantasy            ",125 min,  8.1 ,54514,"     Director: Umesh Shukla |      Stars: Paresh Rawal,  Akshay Kumar,  Mithun Chakraborty,  Mahesh Manjrekar "
Laxmii,2020," Action, Comedy, Horror            ",141 min,  2.4 ,54387,"     Directors: Lawrence Raghavendra,  Balakrishnan Thevar |      Stars: Akshay Kumar,  Kiara Advani,  Sharad Kelkar,  Ashwini Kalsekar "
Sholay,1975," Action, Adventure, Comedy            ",204 min,  8.2 ,53318,"     Director: Ramesh Sippy |      Stars: Sanjeev Kumar,  Dharmendra,  Amitabh Bachchan,  Amjad Khan "
Special Chabbis,2013," Crime, Drama, Thriller            ",144 min,  8.0 ,53274,"     Director: Neeraj Pandey |      Stars: Akshay Kumar,  Anupam Kher,  Manoj Bajpayee,  Jimmy Sheirgill "
The Lunchbox,2013," Drama, Romance            ",104 min,  7.8 ,52978,"     Director: Ritesh Batra |      Stars: Irrfan Khan,  Nimrat Kaur,  Nawazuddin Siddiqui,  Lillete Dubey "
The White Tiger,2021," Crime, Drama            ",125 min,  7.1 ,52865,"     Director: Ramin Bahrani |      Stars: Adarsh Gourav,  Rajkummar Rao,  Priyanka Chopra Jonas,  Vedant Sinha "
Jab Tak Hai Jaan,2012," Drama, Romance            ",198 min,  6.7 ,52774,"     Director: Yash Chopra |      Stars: Shah Rukh Khan,  Katrina Kaif,  Anushka Sharma,  Anupam Kher "
Haider,2014," Action, Crime, Drama            ",160 min,  8.1 ,52039,"     Director: Vishal Bhardwaj |      Stars: Shahid Kapoor,  Tabu,  Shraddha Kapoor,  Kay Kay Menon "
Andaz Apna Apna,1994," Action, Comedy, Romance            ",160 min,  8.1 ,51482,"     Director: Rajkumar Santoshi |      Stars: Aamir Khan,  Salman Khan,  Raveena Tandon,  Karisma Kapoor "
Chennai Express,2013," Action, Adventure, Comedy            ",141 min,  6.1 ,51108,"     Director: Rohit Shetty |      Stars: Deepika Padukone,  Shah Rukh Khan,  Sathyaraj,  Nikitin Dheer "
Don 2,2011," Action, Crime, Thriller            ",148 min,  7.1 ,50985,"     Director: Farhan Akhtar |      Stars: Shah Rukh Khan,  Florian Lukas,  Om Puri,  Priyanka Chopra Jonas "
Veer-Zaara,2004," Drama, Family, Musical            ",192 min,  7.8 ,50817,"     Director: Yash Chopra |      Stars: Shah Rukh Khan,  Preity Zinta,  Rani Mukerji,  Kirron Kher "
Sanju,2018," Biography, Comedy, Drama            ",155 min,  7.7 ,50320,"     Director: Rajkumar Hirani |      Stars: Ranbir Kapoor,  Paresh Rawal,  Manisha Koirala,  Vicky Kaushal "
Kuch Kuch Hota Hai,1998," Comedy, Drama, Musical            ",177 min,  7.6 ,50074,"     Director: Karan Johar |      Stars: Shah Rukh Khan,  Kajol,  Rani Mukerji,  Sana Saeed "
Jab We Met,2007," Comedy, Drama, Romance            ",138 min,  7.9 ,49840,"     Director: Imtiaz Ali |      Stars: Shahid Kapoor,  Kareena Kapoor,  Tarun Arora,  Dara Singh "
Uri: The Surgical Strike,2018," Action, Drama, War            ",138 min,  8.2 ,48264,"     Director: Aditya Dhar |      Stars: Vicky Kaushal,  Paresh Rawal,  Mohit Raina,  Yami Gautam "
Kabhi Khushi Kabhie Gham...,2001," Drama, Musical, Romance            ",210 min,  7.4 ,46877,"     Director: Karan Johar |      Stars: Shah Rukh Khan,  Kajol,  Amitabh Bachchan,  Hrithik Roshan "
Shershaah,2021," Action, Biography, Drama            ",135 min,  8.8 ,46661,"     Director: Vishnuvardhan |      Stars: Sidharth Malhotra,  Kiara Advani,  Shiv Panditt,  Sahil Vaid "
M.S. Dhoni: The Untold Story,2016," Biography, Drama, Sport            ",184 min,  7.9 ,45724,"     Director: Neeraj Pandey |      Stars: Sushant Singh Rajput,  Kiara Advani,  Anupam Kher,  Disha Patani "
Rab Ne Bana Di Jodi,2008," Comedy, Drama, Music            ",167 min,  7.2 ,45647,"     Director: Aditya Chopra |      Stars: Shah Rukh Khan,  Anushka Sharma,  Vinay Pathak,  M.K. Raina "
Lage Raho Munna Bhai,2006," Comedy, Drama, Romance            ",144 min,  8.0 ,44901,"     Director: Rajkumar Hirani |      Stars: Sanjay Dutt,  Arshad Warsi,  Vidya Balan,  Boman Irani "
Dhoom:3,2013," Action, Crime, Thriller            ",172 min,  5.4 ,44362,"     Director: Vijay Krishna Acharya |      Stars: Aamir Khan,  Katrina Kaif,  Abhishek Bachchan,  Uday Chopra "
Race 3,2018," Action, Crime, Thriller            ",160 min,  1.9 ,44029,"     Director: Remo D'Souza |      Stars: Anil Kapoor,  Salman Khan,  Bobby Deol,  Jacqueline Fernandez "
Fan,I 2016," Action, Drama, Thriller            ",142 min,  7.0 ,43851,"     Director: Maneesh Sharma |      Stars: Shah Rukh Khan,  Carolina Main,  Shriya Pilgaonkar,  Sayani Gupta "
Udaan,2010, Drama            ,134 min,  8.2 ,43728,"     Director: Vikramaditya Motwane |      Stars: Rajat Barmecha,  Ronit Roy,  Manjot Singh,  Ram Kapoor "
Sultan,2016," Action, Drama, Sport            ",170 min,  7.0 ,42922,"     Director: Ali Abbas Zafar |      Stars: Salman Khan,  Kubbra Sait,  Marko Zaror,  Anushka Sharma "
Raees,2017," Action, Crime, Drama            ",143 min,  6.8 ,42101,"     Director: Rahul Dholakia |      Stars: Raj Arjun,  Shubham Chintamani,  Shubham Tukaram,  Yug "
Pink,III 2016," Crime, Drama, Thriller            ",136 min,  8.1 ,41927,"     Director: Aniruddha Roy Chowdhury |      Stars: Taapsee Pannu,  Amitabh Bachchan,  Kirti Kulhari,  Andrea Tariang "
Rockstar,2011," Drama, Music, Romance            ",159 min,  7.7 ,41588,"     Director: Imtiaz Ali |      Stars: Ranbir Kapoor,  Nargis Fakhri,  Shammi Kapoor,  Kumud Mishra "
Chhichhore,2019," Comedy, Drama, Romance            ",143 min,  8.3 ,41395,"     Director: Nitesh Tiwari |      Stars: Sushant Singh Rajput,  Shraddha Kapoor,  Varun Sharma,  Prateik "
Vicky Donor,2012," Comedy, Romance            ",126 min,  7.8 ,41221,"     Director: Shoojit Sircar |      Stars: Ayushmann Khurrana,  Yami Gautam,  Annu Kapoor,  Dolly Ahluwalia "
Yeh Jawaani Hai Deewani,2013," Drama, Musical, Romance            ",160 min,  7.2 ,40800,"     Director: Ayan Mukherjee |      Stars: Ranbir Kapoor,  Deepika Padukone,  Aditya Roy Kapoor,  Kalki Koechlin "
Om Shanti Om,2007," Action, Comedy, Drama            ",162 min,  6.7 ,40799,"     Director: Farah Khan |      Stars: Shah Rukh Khan,  Deepika Padukone,  Arjun Rampal,  Kirron Kher "
Talaash,2012," Crime, Drama, Mystery            ",140 min,  7.2 ,40760,"     Directors: Reema Kagti,  Priyamvada Narayanan |      Stars: Aamir Khan,  Kareena Kapoor,  Rani Mukerji,  Nawazuddin Siddiqui "
Devdas,I 2002," Drama, Musical, Romance            ",185 min,  7.6 ,40159,"     Director: Sanjay Leela Bhansali |      Stars: Shah Rukh Khan,  Aishwarya Rai Bachchan,  Madhuri Dixit,  Jackie Shroff "
Ra.One,2011," Action, Adventure, Sci-Fi            ",156 min,  4.7 ,39604,"     Director: Anubhav Sinha |      Stars: Shah Rukh Khan,  Arjun Rampal,  Kareena Kapoor,  Shahana Goswami "
Dear Zindagi,2016," Drama, Romance            ",151 min,  7.5 ,37733,"     Director: Gauri Shinde |      Stars: Alia Bhatt,  Shah Rukh Khan,  Kunal Kapoor,  Priyanka Moodley "
Don,I 2006," Action, Crime, Thriller            ",178 min,  7.2 ,35621,"     Director: Farhan Akhtar |      Stars: Shah Rukh Khan,  Priyanka Chopra Jonas,  Arjun Rampal,  Isha Koppikar "
